,seasonal_orders,orders,results
38895,"(4, 1, 3, 4)","(1, 1, 1)",5.055970583694873
38896,"(5, 1, 3, 5)","(1, 1, 2)",5.055754172984308
38897,"(5, 1, 1, 5)","(4, 2, 2)",5.051299013871984
38898,"(4, 1, 3, 4)","(1, 1, 3)",5.048010366595822
38899,"(5, 1, 1, 5)","(1, 1, 2)",5.044397191518636
38900,"(5, 2, 5, 4)","(1, 2, 2)",5.04249078686055
38901,"(5, 1, 1, 5)","(2, 1, 2)",5.0363185036282205
38902,"(4, 1, 3, 4)","(3, 1, 2)",5.03460699879423
38903,"(5, 1, 2, 5)","(1, 1, 4)",5.0306471189800535
38904,"(5, 2, 3, 3)","(2, 1, 2)",5.029428619751857
38905,"(4, 1, 5, 4)","(2, 3, 1)",5.0290797098615725
38906,"(5, 1, 2, 5)","(3, 1, 2)",5.024048509855763
38907,"(5, 2, 5, 4)","(2, 2, 3)",5.020534201687566
38908,"(5, 1, 3, 5)","(1, 1, 3)",5.018260477024111
38909,"(4, 1, 4, 5)","(2, 1, 4)",5.015908946776908
38910,"(4, 1, 1, 5)","(2, 2, 4)",5.011056524502299
38911,"(4, 1, 3, 4)","(3, 1, 1)",5.010128511259848
38912,"(5, 1, 4, 5)","(1, 1, 2)",5.003209213048119
38913,"(5, 2, 1, 2)","(1, 1, 1)",5.002616449422995
38914,"(5, 1, 4, 5)","(1, 1, 4)",5.00108449784442
38915,"(4, 1, 3, 4)","(2, 1, 1)",4.9972240862879
38916,"(5, 1, 2, 5)","(1, 1, 3)",4.993449899556681
38917,"(4, 1, 1, 5)","(2, 1, 4)",4.9748834382435545
38918,"(5, 1, 1, 5)","(1, 1, 3)",4.974407158564605
38919,"(5, 1, 3, 5)","(2, 1, 2)",4.974317717452943
38920,"(5, 1, 3, 5)","(1, 1, 4)",4.972414005079552
38921,"(5, 1, 3, 5)","(3, 1, 4)",4.971909939427695
38922,"(4, 1, 3, 5)","(4, 2, 2)",4.9705090094914555
38923,"(5, 1, 2, 5)","(1, 1, 2)",4.967621533672159
38924,"(5, 1, 5, 5)","(1, 1, 3)",4.960914479949137
38925,"(5, 1, 5, 5)","(1, 1, 2)",4.96000377173962
38926,"(5, 1, 4, 5)","(3, 1, 2)",4.953483172569238
38927,"(5, 1, 4, 5)","(1, 1, 3)",4.9524399659088765
38928,"(5, 1, 5, 5)","(2, 1, 2)",4.950012917098954
38929,"(5, 1, 4, 5)","(2, 1, 4)",4.948453897969012
38930,"(4, 1, 4, 4)","(1, 2, 1)",4.9483726041252245
38931,"(5, 1, 5, 5)","(2, 1, 4)",4.945328769337066
38932,"(5, 2, 2, 5)","(2, 1, 2)",4.944434414237345
38933,"(5, 1, 4, 5)","(3, 1, 4)",4.942818524873711
38934,"(5, 1, 2, 5)","(2, 1, 4)",4.939701681149169
38935,"(5, 1, 2, 5)","(2, 1, 2)",4.9393413079801025
38936,"(5, 1, 3, 5)","(2, 1, 4)",4.938318709032419
38937,"(5, 1, 1, 5)","(1, 1, 4)",4.938112479716739
38938,"(5, 1, 1, 5)","(3, 1, 4)",4.937139811186557
38939,"(4, 2, 2, 4)","(2, 2, 3)",4.933377693454487
38940,"(5, 1, 1, 5)","(3, 1, 2)",4.932732586853928
38941,"(5, 1, 1, 5)","(2, 1, 4)",4.930704556552192
38942,"(5, 1, 3, 5)","(3, 1, 2)",4.9304391449392115
38943,"(4, 1, 4, 4)","(2, 2, 3)",4.930155570679708
38944,"(4, 2, 3, 4)","(3, 2, 2)",4.929700487480036
38945,"(5, 1, 5, 5)","(3, 1, 2)",4.929335830631571
38946,"(4, 1, 1, 5)","(4, 2, 2)",4.926527655150541
38947,"(4, 1, 3, 4)","(1, 2, 2)",4.926364492648804
38948,"(5, 1, 5, 5)","(3, 1, 4)",4.924104073274178
38949,"(5, 1, 5, 5)","(1, 1, 4)",4.923570255813167
38950,"(4, 1, 4, 4)","(1, 2, 2)",4.92290575191645
38951,"(5, 1, 2, 5)","(3, 1, 4)",4.9215387581019385
38952,"(4, 1, 4, 4)","(1, 2, 3)",4.9176794124386065
38953,"(4, 2, 3, 2)","(1, 1, 1)",4.906197512236373
38954,"(4, 2, 2, 5)","(2, 1, 2)",4.893756043831175
38955,"(4, 1, 3, 2)","(1, 1, 1)",4.867323104386595
38956,"(5, 2, 5, 5)","(2, 1, 2)",4.861959396898821
38957,"(5, 2, 5, 2)","(1, 2, 1)",4.858430855858047
38958,"(5, 2, 3, 5)","(2, 1, 2)",4.850605272001822
38959,"(4, 2, 2, 5)","(3, 1, 2)",4.848483387768948
38960,"(4, 1, 4, 4)","(3, 2, 3)",4.847260215931603
38961,"(4, 2, 3, 5)","(3, 1, 2)",4.84044152473392
38962,"(4, 1, 2, 2)","(1, 1, 1)",4.838052868609416
38963,"(4, 2, 1, 5)","(3, 1, 2)",4.834175521692046
38964,"(5, 2, 2, 4)","(2, 2, 2)",4.830480541392586
38965,"(5, 1, 4, 2)","(1, 1, 1)",4.828694399801516
38966,"(4, 2, 5, 5)","(3, 1, 2)",4.824401493838882
38967,"(4, 2, 4, 5)","(3, 1, 2)",4.816386813304586
38968,"(5, 2, 2, 4)","(1, 2, 3)",4.808536291861131
38969,"(4, 1, 1, 4)","(2, 1, 1)",4.805637468330564
38970,"(4, 1, 1, 4)","(3, 1, 1)",4.802103478187057
38971,"(4, 1, 1, 4)","(2, 1, 2)",4.801473253098359
38972,"(5, 2, 3, 4)","(3, 2, 2)",4.786036817599493
38973,"(4, 2, 5, 5)","(2, 1, 2)",4.778247697784663
38974,"(4, 2, 1, 5)","(2, 1, 2)",4.775659750936849
38975,"(4, 2, 4, 4)","(2, 2, 3)",4.773448258295416
38976,"(4, 2, 2, 2)","(1, 1, 1)",4.771816738574124
38977,"(5, 1, 2, 2)","(1, 1, 1)",4.7598038636343425
38978,"(4, 2, 4, 5)","(2, 1, 2)",4.745204516369549
38979,"(4, 1, 1, 4)","(1, 1, 3)",4.741664158370456
38980,"(4, 1, 2, 4)","(1, 1, 1)",4.735970561352276
